parameters,psrf,psrfci
ρ,1.0022993724152398,1.006708926421642
σ,1.0030898195938123,1.0102699700396844
θ,1.0000931636643984,1.0010954278241229
δ,1.001527838685281,1.0049441955089047
h,1.0004109475740528,1.0017577888103681
ϕ,1.00122012280472,1.0043298316883316
prop_ss,1.0012738583651855,1.0035297505203404
prop_ii,1.0015588926535974,1.0030597991294268
p_detect,1.000079532893904,1.0004428414572424
φ,1.0041443836190258,1.0092569307156976
