iteration,chain,ρ,σ,θ,δ,h,ϕ,prop_ss,prop_ii,p_detect,φ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1,1,3.9058208702279247,20.076389866277907,0.8892319699022637,0.42724495373928423,0.8387029483786644,0.5156129557286857,0.80290244765825,0.9005302459153812,0.39370790511728915,4.767629115275122,-81.33748688942711,15.0,1.0,0.9575617381418374,-81.33748688942711,88.60397013777086,-0.09547929529769306,0.2642915405189967,4.0,0.0,0.15980035918579205,0.15980035918579205
2,1,3.3902226647263007,30.829487330795704,0.9192364652388313,0.9181253490750308,0.9264069916943158,0.14086584665591703,0.3921947528109877,0.8999367109173284,0.14543677773604757,3.6271518993025365,-89.73224625007697,31.0,1.0,0.5873900166678475,-89.73224625007697,95.34927808192309,0.054033465021205984,52.97146184804264,4.0,0.0,0.15980035918579205,0.15980035918579205
3,1,4.101005387532163,18.29098553738018,0.8041023015136924,0.11113582408108807,0.798785931488959,0.4237178036722464,0.8385550097911615,0.7283627678918659,0.9993707378761024,1.5053308961056493,-89.25221584532378,31.0,1.0,0.48018733493705595,-89.25221584532378,91.7938932276039,0.6669149623034798,1.8156881739315907,5.0,0.0,0.11625313769351753,0.11625313769351753
4,1,3.375196861365184,14.644429356547084,0.9513497555838798,0.4174528829883527,0.8957953797336534,0.9550504192694367,0.8476199842375629,0.9338919389277998,0.8348554283205746,5.410257147895333,-87.4651490897622,7.0,1.0,0.22992497521623223,-87.4651490897622,93.04294759029912,0.0,7.531640231845969,2.0,0.0,0.12652862089578848,0.12652862089578848
5,1,4.332637145395819,23.017911343563323,0.6236500572255227,0.06083751525247649,0.832072951435804,0.31334579389947537,0.39282825739021154,0.9588056698659837,0.7799361123477199,2.3991018397572517,-85.19870794499306,31.0,1.0,0.5274912082391479,-85.19870794499306,91.55512519460697,0.030807148542891127,4.031001480750476,5.0,0.0,0.11625313769351753,0.11625313769351753
6,1,3.658282990537706,17.948232490422814,0.7622026306530406,0.3129044492378199,0.931731406462101,0.9365250120326458,0.9373667570704345,0.8675243084874582,0.4774467489687096,3.260103665808417,-84.50588502684325,31.0,1.0,0.9554720696961008,-84.50588502684325,87.35728713621977,-0.033931467209939115,1.2018226091931865,4.0,0.0,0.15980035918579205,0.15980035918579205
7,1,3.9692616873633777,20.71359254816973,0.8177856889809244,0.47772020521239067,0.9002186884402261,0.6305315608705812,0.9164522244744078,0.62875884134232,0.8512483598361875,4.809969303552349,-84.12326323307158,31.0,1.0,0.9854699886533722,-84.12326323307158,92.7546503354976,-0.16702271156434279,-0.4256616928277026,5.0,0.0,0.11625313769351753,0.11625313769351753
8,1,4.19997079540548,21.0242398615404,0.8875863578164448,0.37902857880097207,0.7777422161476223,0.34700025412352653,0.5736404296426458,0.8343727529397184,0.5552376612858504,2.7022445329576086,-82.3152457089337,31.0,1.0,0.9255375705049128,-82.3152457089337,87.54110171735516,0.11601339210784545,0.48773586297352267,5.0,0.0,0.11625313769351753,0.11625313769351753
9,1,3.837835903893464,21.27019854662923,0.7744153141737372,0.4117398526597164,0.8547658625729042,0.7039986195733071,0.8166573519647083,0.8402833832069707,0.2810194433927019,4.9433844533842555,-82.49295793279398,31.0,1.0,0.9767587265138984,-82.49295793279398,86.09289417888472,-0.21733663327232478,-0.48777276915994605,5.0,0.0,0.12652862089578848,0.12652862089578848
10,1,3.9526456105311136,20.529300909606278,0.8991752298549293,0.5422320166517465,0.9268306798376365,0.4765483007913463,0.980280493160455,0.6631621714593424,0.5267576234858777,5.457307200105771,-83.2305352369501,31.0,1.0,0.8927091427236419,-83.2305352369501,88.97606832443903,-0.016253467275319622,2.737491914388073,5.0,0.0,0.14521442197190154,0.14521442197190154
11,1,3.7783970167066854,18.81249219048712,0.8012807109228961,0.3298654901774976,0.8801936984997312,0.8779025283578495,0.6382513681119657,0.5551719294847534,0.2981893697639673,2.874596879048078,-84.80506081289724,31.0,1.0,0.9151781768210876,-84.80506081289724,90.28320509012188,-0.045997489765497335,0.8790300254977126,5.0,0.0,0.14521442197190154,0.14521442197190154
12,1,3.599142652057516,15.075576124186446,0.7762652615164563,0.22371549249087908,0.9573019082878741,0.09001750556022589,0.9618517163725425,0.5211924536973213,0.6867729711763471,2.335403235455463,-85.65691850679856,31.0,1.0,0.8720372953854366,-85.65691850679856,88.34352303209764,0.14218565227332647,0.25651141414131473,5.0,0.0,0.14521442197190154,0.14521442197190154
13,1,4.497191643815642,25.368210980507953,0.9151077209109528,0.6580558513247871,0.9342053432319598,0.2290157879153954,0.2996427526149663,0.7207857936186778,0.7525273953815907,4.29108772762489,-82.90699983916079,31.0,1.0,0.9916488535787805,-82.90699983916079,94.9334364431308,-0.0760983102039603,-0.5265521536576045,5.0,0.0,0.14521442197190154,0.14521442197190154
14,1,3.1710749951654407,17.588377259821463,0.8019261224685079,0.16304770940155283,0.8244474265676589,0.09162405854807883,0.7667332411593153,0.5198596054389412,0.14607987858200322,3.265032701135019,-85.83352322270369,15.0,1.0,1.0,-85.83352322270369,88.6511274484887,-0.06767231173401456,-0.07401265319769834,4.0,0.0,0.12652862089578848,0.12652862089578848
15,1,3.0947937920265542,33.462812634736295,0.7294569707895109,0.685209296812896,0.7751002505256356,0.5271517880456691,0.1970896555345386,0.8737025418391361,0.836938056813494,0.7783501685422175,-93.06274581084193,31.0,1.0,0.8682503492496494,-93.06274581084193,100.9040930956441,-0.05818926593070728,1.281623658867531,5.0,0.0,0.15980035918579205,0.15980035918579205
16,1,3.910267981820604,17.978667253144653,0.889255813373898,0.5067050361705319,0.9904311885399655,0.4582580727867092,0.866255485359775,0.5453182240995111,0.5625502555831781,4.456558686077146,-83.92207324708006,31.0,1.0,0.5207433255392984,-83.92207324708006,87.79521817187403,0.09233955918327297,34.61562648417225,5.0,0.0,0.14521442197190154,0.14521442197190154
17,1,3.617059649338663,15.206378195833992,0.7608052904100254,0.3693120561762015,0.9768701014043955,0.9441542773898909,0.7513402261527817,0.8612587802276572,0.7383432668129606,3.7498665822156942,-85.02148268511796,29.0,1.0,0.5656306722735155,-85.02148268511796,89.42150428519562,0.06168496543530466,Inf,4.0,1.0,0.14521442197190154,0.14521442197190154
18,1,3.31332331688169,12.788806046978328,0.9953185897368527,0.04975778955925303,0.7808034084630422,0.9792396446959097,0.9907993992542534,0.8416547556468083,0.4605838635607722,5.708668552695726,-92.24720618386112,31.0,1.0,0.9599393086710506,-92.24720618386112,94.18361839169101,-0.018464614963392023,0.4246838276555849,5.0,0.0,0.15980035918579205,0.15980035918579205
19,1,4.446677192288397,25.471092389299002,0.9838434099730023,0.8588714217536181,0.9792792632433079,0.013399844404256026,0.2765089601761005,0.9981555245634773,0.5728731784354905,4.778548352292879,-92.6832726843428,31.0,1.0,0.9712743493401369,-92.6832726843428,96.88888122348476,-0.16789981498827444,-0.3198306797462038,5.0,0.0,0.11625313769351753,0.11625313769351753
20,1,3.8416686257469648,17.850366442899997,0.9891590249283936,0.6036711474171371,0.9447054632210006,0.022691842637785117,0.8513274682870535,0.8218616973585475,0.6334620140385684,10.419287042998045,-86.77850505868086,31.0,1.0,0.7834878755106349,-86.77850505868086,92.99728043399526,-0.2894263806085178,1.285639859438092,5.0,0.0,0.11625313769351753,0.11625313769351753
21,1,3.526071311000425,34.03075000713216,0.8214515452886295,0.43150686410591244,0.6772654353531733,0.054712198911147314,0.19895639239835128,0.9804373030327521,0.04998405497239222,1.7663520267436246,-93.3493631386774,31.0,1.0,0.6582061986922116,-93.3493631386774,100.49135662958037,-0.058976023596287064,6.868891974642125,5.0,0.0,0.12652862089578848,0.12652862089578848
22,1,3.7804494179802757,14.454238141616761,0.6142297218670895,0.15678833758856897,0.9844183768861511,0.5067052221968708,0.34054367020292686,0.9844648316176849,0.7817909292102312,2.3170963618276836,-88.06154078339064,31.0,1.0,0.8674799049320637,-88.06154078339064,95.11757069350027,0.257517795761558,1.9494256878607672,5.0,0.0,0.14521442197190154,0.14521442197190154
23,1,3.481428763618881,20.252566771269155,0.8994605839464701,0.5321993331325044,0.8407379185108299,0.5548384713833745,0.5104079856558783,0.6247755150853066,0.30002924886124477,1.832708339252082,-85.38946722242207,15.0,1.0,0.8829633533986,-85.38946722242207,91.24426360214714,0.12668306726040157,0.36506624689893385,4.0,0.0,0.15980035918579205,0.15980035918579205
24,1,4.724925527157583,27.694046104185073,0.8423608129573809,0.8541615321334196,0.9620096277201468,0.7325451238184051,0.9066570821176184,0.6092328270207665,0.8827052631728582,6.313380107270722,-84.90545155234051,31.0,1.0,0.7352154681447953,-84.90545155234051,88.10838894358311,0.15731724846740747,2.6944595516335426,5.0,0.0,0.14521442197190154,0.14521442197190154
25,1,3.2910707057687087,15.66310293881579,0.7933654190775683,0.4677920646806483,0.9761417653283657,0.6044829944536736,0.9122060687019663,0.9633383364134649,0.2484088599418984,3.964302486620887,-85.7233985354899,31.0,1.0,0.770152913619058,-85.7233985354899,89.99261290701295,-0.28038718519627537,2.7803524227505534,5.0,0.0,0.15980035918579205,0.15980035918579205
26,1,2.735213494027998,18.97028189870767,0.8311731409543085,0.3867077079044533,0.954857232331245,0.5497578371394373,0.25870049440740917,0.8580298592717219,0.09219322214177722,5.721593641923279,-87.46332911737994,31.0,1.0,0.9994837005287892,-87.46332911737994,92.77597551186824,-0.5274018400862417,-1.105868724682395,5.0,0.0,0.14521442197190154,0.14521442197190154
27,1,3.362310521166255,15.877939395434204,0.8160495655833444,0.3900450300408175,0.985907591502321,0.128099311158007,0.9928043208725196,0.9417151681902973,0.39130698863456265,4.722394477741123,-87.35555916302464,31.0,1.0,0.5228277077042026,-87.35555916302464,94.12775878807763,0.581508548734476,4.892527262651555,5.0,0.0,0.11625313769351753,0.11625313769351753
28,1,3.7900493869582927,18.0332923135591,0.9303678861390786,0.6564728523550414,0.9783558827621409,0.36606927312173076,0.9258161998636942,0.9507060544861045,0.8880088658266042,2.1695914564816006,-86.78611770164225,31.0,1.0,0.5329437528017431,-86.78611770164225,89.72048042121124,-0.10202322249732276,13.925311358246631,4.0,0.0,0.15980035918579205,0.15980035918579205
29,1,4.752736605479591,26.867092190180518,0.8600799879718751,0.19360144072588664,0.6259612671407417,0.6216109405269271,0.3718416313888211,0.7725973551423116,0.997949637798597,2.224595116525685,-87.63482397294449,31.0,1.0,0.7151480669321127,-87.63482397294449,92.4694174543299,0.24092672280336558,0.6725860279926934,4.0,0.0,0.15980035918579205,0.15980035918579205
30,1,3.7993312483709207,16.56184672142223,0.971714578905755,0.08138229510580103,0.7106766467566933,0.21521896872392876,0.3407180327310727,0.6316240454552231,0.5145203965490198,2.1040315259169002,-85.67337534843253,63.0,1.0,0.5327768388880766,-85.67337534843253,91.46715220621876,0.39777835600288824,1.5406193926726672,5.0,0.0,0.14521442197190154,0.14521442197190154
31,1,3.968699574831238,16.036681649712325,0.937394320703104,0.22725359741701953,0.8585296888051712,0.6023342769440205,0.4964874423832595,0.8699809777866557,0.9176054612588495,3.4575496024792556,-82.95036773366914,31.0,1.0,0.9721628044583684,-82.95036773366914,85.26539267423048,0.05113969220039394,0.14004356758159986,5.0,0.0,0.12652862089578848,0.12652862089578848
